# ============================================
# CHIRP SWEEP: f=0.0600->5.0000Hz  A=0.850  off=0.000  T=100s
# Sample rate: 500 Hz  |  Baud: 460800
# t_ms,pwm_pct,alpha_deg
561508.0,0.0,4.57
# ============================================
# BASELINE_START
561511.0,0.0,4.59
561511.0,0.0,4.58
561514.0,0.0,4.59
561516.0,0.0,4.57
561518.0,0.0,4.58
561520.0,0.0,4.58
561522.0,0.0,4.58
561524.0,0.0,4.59
561526.0,0.0,4.57
561528.0,0.0,4.57
561530.0,0.0,4.58
561532.0,0.0,4.58
561534.0,0.0,4.58
561536.0,0.0,4.58
561538.0,0.0,4.57
561540.0,0.0,4.58
561542.0,0.0,4.57
561544.0,0.0,4.58
561546.0,0.0,4.59
561548.0,0.0,4.58
561550.0,0.0,4.57
561552.0,0.0,4.58
561554.0,0.0,4.57
561556.0,0.0,4.58
561558.0,0.0,4.58
561560.0,0.0,4.57
561562.0,0.0,4.58
561564.0,0.0,4.58
561566.0,0.0,4.57
561568.0,0.0,4.61
561570.0,0.0,4.58
561572.0,0.0,4.58
561574.0,0.0,4.58
561576.0,0.0,4.58
561578.0,0.0,4.57
561580.0,0.0,4.59
561582.0,0.0,4.59
561584.0,0.0,4.58
561586.0,0.0,4.58
561588.0,0.0,4.57
561590.0,0.0,4.58
561592.0,0.0,4.58
561594.0,0.0,4.58
561596.0,0.0,4.58
561598.0,0.0,4.58
561600.0,0.0,4.57
561602.0,0.0,4.58
561604.0,0.0,4.57
561606.0,0.0,4.57
561608.0,0.0,4.57
561610.0,0.0,4.58
561612.0,0.0,4.57
561614.0,0.0,4.57
561616.0,0.0,4.58
561618.0,0.0,4.58
561620.0,0.0,4.59
561622.0,0.0,4.58
561624.0,0.0,4.58
561626.0,0.0,4.59
561628.0,0.0,4.57
561630.0,0.0,4.58
561632.0,0.0,4.57
561634.0,0.0,4.58
561636.0,0.0,4.58
561638.0,0.0,4.57
561640.0,0.0,4.57
561642.0,0.0,4.58
561644.0,0.0,4.57
561646.0,0.0,4.57
561648.0,0.0,4.59
561650.0,0.0,4.58
561652.0,0.0,4.57
561654.0,0.0,4.59
561656.0,0.0,4.57
561658.0,0.0,4.58
561660.0,0.0,4.59
561662.0,0.0,4.57
561664.0,0.0,4.58
561666.0,0.0,4.58
561668.0,0.0,4.56
561670.0,0.0,4.59
561672.0,0.0,4.58
561674.0,0.0,4.57
561676.0,0.0,4.59
561678.0,0.0,4.61
561680.0,0.0,4.57
561682.0,0.0,4.59
561684.0,0.0,4.58
561686.0,0.0,4.57
561688.0,0.0,4.59
561690.0,0.0,4.58
561692.0,0.0,4.57
561694.0,0.0,4.58
561696.0,0.0,4.58
561698.0,0.0,4.58
561700.0,0.0,4.58
561702.0,0.0,4.57
561704.0,0.0,4.59
561706.0,0.0,4.58
561708.0,0.0,4.57
561710.0,0.0,4.57
561712.0,0.0,4.58
561714.0,0.0,4.57
561716.0,0.0,4.58
561718.0,0.0,4.56
561720.0,0.0,4.57
561722.0,0.0,4.57
561724.0,0.0,4.57
561726.0,0.0,4.57
561728.0,0.0,4.59
561730.0,0.0,4.57
561732.0,0.0,4.59
561734.0,0.0,4.58
561736.0,0.0,4.56
561738.0,0.0,4.58
561740.0,0.0,4.57
561742.0,0.0,4.56
561744.0,0.0,4.58
561746.0,0.0,4.57
561748.0,0.0,4.57
561750.0,0.0,4.58
561752.0,0.0,4.57
561754.0,0.0,4.57
561756.0,0.0,4.58
561758.0,0.0,4.58
561760.0,0.0,4.58
561762.0,0.0,4.58
561764.0,0.0,4.57
561766.0,0.0,4.59
561768.0,0.0,4.58
561770.0,0.0,4.58
561772.0,0.0,4.58
561774.0,0.0,4.58
561776.0,0.0,4.58
561778.0,0.0,4.58
561780.0,0.0,4.57
561782.0,0.0,4.57
561784.0,0.0,4.59
