# CHIRP SWEEP: f=0.0500->5.0000Hz  A=0.800  off=0.000  T=120s
# Sample rate: 500 Hz  |  Baud: 460800
# t_ms,pwm_pct,alpha_deg
# ============================================
# BASELINE_START
11639.0,0.0,7.47
11641.0,0.0,7.47
11643.0,0.0,7.48
11645.0,0.0,7.47
11647.0,0.0,7.47
11649.0,0.0,7.47
11651.0,0.0,7.47
11653.0,0.0,7.46
11655.0,0.0,7.46
11657.0,0.0,7.47
11659.0,0.0,7.46
11661.0,0.0,7.47
11663.0,0.0,7.47
11665.0,0.0,7.47
11667.0,0.0,7.47
11669.0,0.0,7.47
11671.0,0.0,7.46
11673.0,0.0,7.46
11675.0,0.0,7.46
11677.0,0.0,7.47
11679.0,0.0,7.47
11681.0,0.0,7.47
11683.0,0.0,7.48
11685.0,0.0,7.47
11687.0,0.0,7.47
11689.0,0.0,7.47
11691.0,0.0,7.47
11693.0,0.0,7.46
11695.0,0.0,7.47
11697.0,0.0,7.48
11699.0,0.0,7.46
11701.0,0.0,7.47
11703.0,0.0,7.47
11705.0,0.0,7.47
11707.0,0.0,7.47
11709.0,0.0,7.47
11711.0,0.0,7.47
11713.0,0.0,7.48
11715.0,0.0,7.46
11717.0,0.0,7.48
11719.0,0.0,7.44
11721.0,0.0,7.47
11723.0,0.0,7.47
11725.0,0.0,7.47
11727.0,0.0,7.46
11729.0,0.0,7.47
11731.0,0.0,7.47
11733.0,0.0,7.48
11735.0,0.0,7.47
11737.0,0.0,7.47
11739.0,0.0,7.47
11741.0,0.0,7.48
11743.0,0.0,7.47
11745.0,0.0,7.47
11747.0,0.0,7.48
11749.0,0.0,7.48
11751.0,0.0,7.47
11753.0,0.0,7.46
11755.0,0.0,7.46
11757.0,0.0,7.46
11759.0,0.0,7.48
11761.0,0.0,7.47
11763.0,0.0,7.47
11765.0,0.0,7.47
11767.0,0.0,7.47
11769.0,0.0,7.47
11771.0,0.0,7.48
11773.0,0.0,7.47
11775.0,0.0,7.47
11777.0,0.0,7.48
11779.0,0.0,7.47
11781.0,0.0,7.48
11783.0,0.0,7.47
11785.0,0.0,7.47
11787.0,0.0,7.46
11789.0,0.0,7.47
11791.0,0.0,7.46
11793.0,0.0,7.47
11795.0,0.0,7.48
11797.0,0.0,7.48
11799.0,0.0,7.46
11801.0,0.0,7.47
11803.0,0.0,7.47
11805.0,0.0,7.47
11807.0,0.0,7.47
11809.0,0.0,7.47
11811.0,0.0,7.47
11813.0,0.0,7.46
11815.0,0.0,7.46
11817.0,0.0,7.47
11819.0,0.0,7.47
11821.0,0.0,7.46
11823.0,0.0,7.47
11825.0,0.0,7.48
11827.0,0.0,7.46
11829.0,0.0,7.46
11831.0,0.0,7.47
11833.0,0.0,7.46
11835.0,0.0,7.46
11837.0,0.0,7.47
11839.0,0.0,7.46
11841.0,0.0,7.47
11843.0,0.0,7.46
11845.0,0.0,7.46
11847.0,0.0,7.48
11849.0,0.0,7.48
11851.0,0.0,7.48
11853.0,0.0,7.47
11855.0,0.0,7.47
11857.0,0.0,7.46
11859.0,0.0,7.47
11861.0,0.0,7.47
11863.0,0.0,7.47
11865.0,0.0,7.47
11867.0,0.0,7.47
11869.0,0.0,7.46
11871.0,0.0,7.46
11873.0,0.0,7.47
11875.0,0.0,7.46
11877.0,0.0,7.47
11879.0,0.0,7.46
11881.0,0.0,7.47
11883.0,0.0,7.47
11885.0,0.0,7.47
11887.0,0.0,7.47
11889.0,0.0,7.48
11891.0,0.0,7.47
11893.0,0.0,7.47
11895.0,0.0,7.47
11897.0,0.0,7.47
11899.0,0.0,7.46
11901.0,0.0,7.46
11903.0,0.0,7.48
11905.0,0.0,7.47
11907.0,0.0,7.46
11909.0,0.0,7.46
11911.0,0.0,7.47
11913.0,0.0,7.48
