# ============================================
# CHIRP SWEEP: f=0.2000->1.0000Hz  A=0.800  off=0.000  T=15s
# Sample rate: 500 Hz  |  Baud: 460800
# t_ms,pwm_pct,alpha_deg
# ============================================
# BASELINE_START
467015.0,0.0,35.71
467017.0,0.0,35.71
467019.0,0.0,35.7
467021.0,0.0,35.71
467023.0,0.0,35.72
467025.0,0.0,35.7
467027.0,0.0,35.72
467029.0,0.0,35.7
467031.0,0.0,35.7
467033.0,0.0,35.7
467035.0,0.0,35.69
467037.0,0.0,35.7
467039.0,0.0,35.69
467041.0,0.0,35.69
467043.0,0.0,35.69
467045.0,0.0,35.71
467047.0,0.0,35.72
467049.0,0.0,35.72
467051.0,0.0,35.71
467053.0,0.0,35.71
467055.0,0.0,35.7
467057.0,0.0,35.69
467059.0,0.0,35.69
467061.0,0.0,35.7
467063.0,0.0,35.7
467065.0,0.0,35.71
467067.0,0.0,35.7
467069.0,0.0,35.7
467071.0,0.0,35.69
467073.0,0.0,35.7
467075.0,0.0,35.7
467077.0,0.0,35.71
467079.0,0.0,35.71
467081.0,0.0,35.71
467083.0,0.0,35.71
467085.0,0.0,35.7
467087.0,0.0,35.69
467089.0,0.0,35.72
467091.0,0.0,35.7
467093.0,0.0,35.7
467095.0,0.0,35.71
467097.0,0.0,35.71
467099.0,0.0,35.71
467101.0,0.0,35.7
467103.0,0.0,35.7
467105.0,0.0,35.7
467107.0,0.0,35.71
467109.0,0.0,35.71
467111.0,0.0,35.7
467113.0,0.0,35.71
467115.0,0.0,35.71
467117.0,0.0,35.7
467119.0,0.0,35.7
467121.0,0.0,35.7
467123.0,0.0,35.7
467125.0,0.0,35.7
467127.0,0.0,35.7
467129.0,0.0,35.71
467131.0,0.0,35.72
467133.0,0.0,35.71
467135.0,0.0,35.71
467137.0,0.0,35.71
467139.0,0.0,35.71
467141.0,0.0,35.71
467143.0,0.0,35.7
467145.0,0.0,35.71
467147.0,0.0,35.7
467149.0,0.0,35.71
467151.0,0.0,35.7
